Id;Target;Columna1;exists
00cf076fa17e4da5;4;Walking;VERDADERO
0ef0b550d62f4112;1;Running;VERDADERO
10c6f223ffd24ae6;0;;FALSO
12353baab751486d;3;;FALSO
17c37918598d4acf;3;;FALSO
1816bd0efda344d6;3;;FALSO
184be397109044ab;2;;FALSO
184ee2188e7641d9;1;;FALSO
1964f6c0528d4ddd;0;;FALSO
1a43a91695744326;0;Grazing;VERDADERO
1c3e43a722684f1b;3;Standing;VERDADERO
1c6b8e47eb8d4183;3;Standing;VERDADERO
1d1570fc12b04631;2;Sitting;VERDADERO
1ea15a1350934b12;0;Grazing;VERDADERO
275cea97e4874717;4;;FALSO
28a0d8dfc57f4a75;1;;FALSO
2a36741927994c30;4;Walking;VERDADERO
3028dea4180a48f5;2;;FALSO
34b50c1d82e24c0f;3;;FALSO
3b21b00074664314;4;Walking;VERDADERO
3bfa1eeea4214828;3;Standing;VERDADERO
3ca1f70d5bc64d1b;2;Sitting;VERDADERO
3d1dc4e0e14044d2;3;Standing;VERDADERO
3f8b0b1427fe4cb3;1;;VERDADERO
462b891c680847d4;2;;FALSO
488510875c884fe4;0;;FALSO
4c7d79b417964657;4;;VERDADERO
5033cca8f8f94f53;2;;FALSO
5a08393538a04419;3;;VERDADERO
5b61e29a67544180;0;;VERDADERO
5be2717a50294ff3;0;;VERDADERO
5dd011f0a50f496f;2;;VERDADERO
60c7f1402f70449e;0;;FALSO
60e8aea661bf4e72;3;;FALSO
64a025c8d3364400;2;;FALSO
67bbcd2e975144e4;1;;FALSO
6eb6afd63d0d456a;3;;VERDADERO
71184cb0a1d94fe4;0;;FALSO
71d0f16af24f4a2d;2;;FALSO
756ae332602e4604;2;;FALSO
7747ec2831b04cbe;1;;VERDADERO
77cc8185e6b84b4d;3;;FALSO
7a4a9c6b825b40cf;0;;FALSO
7ac367b596f24ade;3;;FALSO
7afa4021004940e7;3;;FALSO
7cc13aa48bc940f9;2;;FALSO
84cf96a988f64aee;0;;FALSO
876b25ad23394030;1;;FALSO
883a297a06db4160;0;;FALSO
90808fe648e24375;2;;FALSO
91c605df2e6f4dbe;3;;FALSO
91c73aae115c4dbd;4;;FALSO
93fa6221c1aa49ef;1;;FALSO
94e2a4380c754bea;1;;FALSO
99157c56f8fc43aa;0;;FALSO
9e6fb15556a04e6d;3;;FALSO
a2794fc6e98d4da9;2;;FALSO
ac7b0ccbbead4cd6;0;;FALSO
afaa509654bb47a0;2;;FALSO
b0b9bb48d11746c7;4;;FALSO
b180fa8a0b604252;3;;FALSO
b3601768cfa7432f;0;;FALSO
b480e1db394f41ab;2;;FALSO
b685864b1a42411a;1;;FALSO
b6e63ac610c94124;3;;FALSO
ba7f867f6a5543c1;3;;FALSO
baedb2dd96c64945;2;;FALSO
bbb7783552d2423a;3;;FALSO
be7c6d9ebda141da;3;;FALSO
bf02300f7edd4b01;2;;FALSO
bf4be8a6276b43cc;0;;FALSO
c37d6f3ad39d4f93;3;;FALSO
c59140808012455c;0;;FALSO
c892b0d499b945b3;2;;FALSO
c92e09bac515498c;1;;FALSO
cb9027d951e24ba6;4;;FALSO
cf12c8e9b31c4226;0;;FALSO
cf80d1a9d9ce436e;0;;FALSO
d2fce91ae8cb49c2;3;;FALSO
d48de5a8616c4573;2;;FALSO
d4b06938dda24597;0;;FALSO
d57b98486406415d;1;;FALSO
d5d0c9822ac447d0;2;;FALSO
d88a652d6289494f;2;;FALSO
d9d8a49302824ddf;3;;FALSO
daec94e900a1421c;0;;FALSO
dc23915c12754d0f;2;;FALSO
df02fc097a3848bf;3;;FALSO
df0453503f794e60;3;;FALSO
e021cb1d834f4e14;3;;FALSO
e34fd0adb5534654;3;;FALSO
e4411284e1f7408b;1;;FALSO
e5142dd6558944ef;2;;FALSO
e8321496b8c047a6;2;;FALSO
ee8945aace9d4963;2;;FALSO
f3699f51dc304c90;2;;FALSO
f3ee4b998f33452c;2;;FALSO
f5a4535b0b014160;0;;FALSO
f8b31ee3cfc04ff5;2;;FALSO
facba36eee88406c;3;;FALSO
