Id,Target
grazing_015front.MOV,0
sitting_047sit_front_043sit_side.mp4,2
sitting_052_sit_side.mp4,2
standing_001stand_side.mp4,3
walking_027_walk_side.mp4,4
running_027_run_side.mp4,1
standing_VID_20210815_135520.mp4,3
running_015_run_side.mp4,1
walking_009_walk_side.mp4,4
running_021run_front.MOV,1
sitting_048_sit_side.mp4,2
grazing_53side.mp4,0
running_025_run_side.mp4,1
grazing_30side.mp4,0
grazing_sitting9.mp4,0
sitting_030sit_front.mp4,2
standing_VID_20210815_135725.mp4,3
running_030run_front.MOV,1
sitting_044sit_front.mp4,2
grazing_022front.MOV,0
running_008run_front.MOV,1
grazing_44side.mp4,0
grazing_018front.MOV,0
sitting_023sit_front.MOV,2
walking_023_walk_side.mp4,4
standing_035_stand_front.mp4,3
walking_034_walk_side.mp4,4
standing_026stand_front.MOV,3
grazing_001side.MOV,0
standing_VID_20210815_134723.mp4,3
sitting_040sit_side.mp4,2
walking_021walk_front.MOV,4
sitting_022sit_front.MOV,2
grazing_48side.mp4,0
grazing_015side.MOV,0
running_014run_front.MOV,1
standing_003stand_side.MOV,3
sitting_008sit_front.MOV,2
grazing_029front.MOV,0
sitting_035sit_front.mp4,2
sitting_050sit_front.mp4,2
walking_029_walk_side.mp4,4
standing_standing_to_sitting_transition_from_front.mp4,3
standing_VID_20210815_135457.mp4,3
grazing_50front.mp4,0
sitting_014sit_front.MOV,2
walking_006_walk_side.mp4,4
standing_006stand_side.MOV,3
running_014_run_side.mp4,1
running_028_run_side.mp4,1
grazing_009side.MOV,0
standing_007stand_side.MOV,3
running_003run_front.MOV,1
sitting_027sit_side.mp4,2
standing_012stand_front.MOV,3
sitting_047sit_side.mp4,2
grazing_43front.mp4,0
standing_007stand_front.MOV,3
running_002run_side.mp4,1
standing_006stand_front.MOV,3
walking_016_walk_side.mp4,4
standing_VID_20210815_132453.mp4,3
sitting_020sit_front.MOV,2
running_009_run_side.mp4,1
grazing_013front.MOV,0
sitting_007sit_front.MOV,2
sitting_011sit_front.MOV,2
running_035run_front.MOV,1
sitting_017sit_side.MOV,2
walking_011walk_front.MOV,4
grazing_50side.mp4,0
running_039_run_side.mp4,1
standing_029stand_front.MOV,3
sitting_045-046sit_front.mp4,2
running_010_run_side.mp4,1
grazing_38front.mp4,0
sitting_031sit_side.mp4,2
grazing_012side.MOV,0
walking_002walk_side.mp4,4
walking_019_walk_side.mp4,4
grazing_45front.mp4,0
sitting_019sit_side.MOV,2
grazing_025front.MOV,0
running_006_run_side.mp4,1
grazing_013side.MOV,0
walking_010walk_front.MOV,4
standing_001stand_front.mp4,3
standing_013stand_side.MOV,3
grazing_48front.mp4,0
sitting_032sit_side.mp4,2
grazing_031front.MOV,0
running_001run_front.MOV,1
grazing_019front.MOV,0
standing_037_stand_side.mp4,3
standing_005stand_front.MOV,3
