filename,label
walking_002walk_front.MOV,4
walking_016_walk_side.mp4,4
walking_002walk_side.mp4,4
walking_017_walk_side.mp4,4
walking_024_walk_side.mp4,4
walking_027_walk_side.mp4,4
walking_004walk_side.mp4,4
walking_036walk_front.MOV,4
walking_015_walk_side.mp4,4
walking_001walk_front.MOV,4
walking_028_walk_side.mp4,4
walking_032_walk_side.mp4,4
walking_021_walk_side.mp4,4
walking_030_walk_side.mp4,4
walking_029_walk_side.mp4,4
walking_021walk_front.MOV,4
walking_005_walk_side.mp4,4
walking_012_walk_side.mp4,4
walking_008_walk_side.mp4,4
walking_010_walk_side.mp4,4
walking_026_walk_side.mp4,4
walking_008walk_front.MOV,4
walking_031walk_front.MOV,4
walking_033walk_front.MOV,4
walking_010walk_front.MOV,4
walking_022_walk_side.mp4,4
walking_009_walk_side.mp4,4
walking_004walk_front.MOV,4
walking_011walk_front.MOV,4
walking_019_walk_side.mp4,4
walking_003walk_side.mp4,4
walking_029walk_front.MOV,4
walking_025_walk_side.mp4,4
walking_013_walk_side.mp4,4
walking_031_walk_side.mp4,4
walking_020_walk_side.mp4,4
walking_023_walk_side.mp4,4
walking_014walk_front.MOV,4
walking_005walk_front.MOV,4
walking_018_walk_side.mp4,4
walking_006_walk_side.mp4,4
walking_011_walk_side.mp4,4
walking_034_walk_side.mp4,4
walking_007_walk_side.mp4,4
walking_014_walk_side.mp4,4
walking_015walk_front.MOV,4
walking_033_walk_side.mp4,4
standing_001stand_side.mp4,3
standing_002stand_side.mp4,3
standing_021stand_front.MOV,3
standing_038_stand_side.mp4,3
standing_040_stand_side.mp4,3
standing_stand_to_sit_transition_2.mp4,3
standing_003stand_side.MOV,3
standing_VID_20210815_134556.mp4,3
standing_023stand_side.mp4,3
standing_012stand_side.MOV,3
standing_011stand_front.MOV,3
standing_019stand_front.MOV,3
standing_020stand_side.mp4,3
standing_012stand_front.MOV,3
standing_036_Stand_front.mp4,3
standing_IMG_5456.MOV,3
standing_004stand_side.MOV,3
standing_008stand_front.MOV,3
standing_VID_20210815_133000.mp4,3
standing_022stand_side.mp4,3
standing_040_stand_front.mp4,3
standing_029stand_front.MOV,3
standing_VID_20210815_133715.mp4,3
standing_sheep_watering_2.MOV,3
standing_035_stand_front.mp4,3
standing_025stand_front.MOV,3
standing_017stand_front.MOV,3
standing_028stand_front.MOV,3
standing_sheep_watering_6.mp4,3
standing_031_stand_side.MOV,3
standing_VID_20210815_133425.mp4,3
standing_026_stand_side.mp4,3
standing_013stand_front.MOV,3
standing_stand_to_sit_transitionnn.mp4,3
standing_042_stand_side.mp4,3
standing_VID_20210815_135400.mp4,3
standing_018stand_front.MOV,3
standing_005stand_side.MOV,3
standing_035_stand_side.mp4,3
standing_VID_20210815_133919.mp4,3
standing_007stand_front.MOV,3
standing_standing_to_sitting_transition_from_front.mp4,3
standing_037_stand_side.mp4,3
standing_IMG_5440.MOV,3
standing_022stand_front.MOV,3
standing_005stand_front.MOV,3
standing_028_Stand_side.mp4,3
standing_033stand_front.mp4,3
standing_014stand_side.MOV,3
standing_003stand_front.MOV,3
standing_010stand_front.MOV,3
standing_VID_20210815_135603.mp4,3
standing_030_stand_side.mp4,3
standing_004stand_front.MOV,3
standing_018stand_side.MOV,3
standing_VID_20210815_132453.mp4,3
standing_034_stand_front.mp4,3
standing_VID_20210815_135457.mp4,3
standing_VID_20210815_133251.mp4,3
standing_032_stand_side.mp4,3
standing_010stand_side.MOV,3
standing_036_stand_side.mp4,3
standing_025stand_side.mp4,3
standing_002stand_front.mp4,3
standing_VID_20210815_135520.mp4,3
standing_VID_20210815_135725.mp4,3
standing_034_stand_side.mp4,3
standing_039_stand_front.mp4,3
standing_031stand_front.mp4,3
standing_017stand_side.MOV,3
standing_021stand_side.mp4,3
standing_037_stand_front.mp4,3
standing_VID_20210815_133041.mp4,3
standing_024stand_front.MOV,3
standing_standing_to_sitting_animation.MOV,3
standing_043_stand_side.mp4,3
standing_006stand_front.MOV,3
standing_001stand_front.mp4,3
standing_sheep_watering_4.mp4,3
standing_013stand_side.MOV,3
standing_033_stand_side.mp4,3
standing_011stand_side.MOV,3
standing_032stand_front.mp4,3
standing_023stand_front.MOV,3
standing_wateringg.MOV,3
standing_019stand_side.mp4,3
standing_sheep_watering_5.mp4,3
standing_VID_20210815_134907.mp4,3
standing_006stand_side.MOV,3
standing_027stand_front.MOV,3
standing_007stand_side.MOV,3
standing_itching_01.MOV,3
standing_030stand_front.mp4,3
standing_029_stand_side.mp4,3
standing_027_stand_Side.mp4,3
standing_VID_20210815_133021.mp4,3
standing_026stand_front.MOV,3
standing_014stand_front.MOV,3
standing_sheep_watering_3.mp4,3
standing_IMG_5441.MOV,3
standing_024stand_side.MOV,3
standing_016stand_front.MOV,3
standing_VID_20210815_131600.mp4,3
standing_008stand_side.MOV,3
standing_standing_rotating.MOV,3
standing_020stand_front.MOV,3
standing_stand_to_sit_transition_01.MOV,3
standing_VID_20210815_130318.mp4,3
standing_039_stand_side.mp4,3
standing_VID_20210815_134723.mp4,3
