category,rank,source_class,source_relative_path,output_relative_path,leaf_area_ratio,disease_ratio,background_complexity_score,occlusion_score
healthy_leaves,1,Pepper__bell___healthy,Pepper__bell___healthy/dfeb1e66-f94b-4ad4-9ad3-ba50d9ac1a2d___JR_HL 7752.JPG,selected_dataset/healthy_leaves/001__Pepper_bell_healthy__dfeb1e66-f94b-4ad4-9ad3-ba50d9ac1a2d_JR_HL_7752.jpg,0.6573638916015625,0.038671340033889647,0.21259253642903703,0.26789528510116073
healthy_leaves,2,Potato___healthy,Potato___healthy/0f4ebc5a-d646-436a-919d-961342997cde___RS_HL 4183.JPG,selected_dataset/healthy_leaves/002__Potato_healthy__0f4ebc5a-d646-436a-919d-961342997cde_RS_HL_4183.jpg,0.56134033203125,0.0,0.22185307789515918,0.05545791059666047
healthy_leaves,3,Tomato_healthy,Tomato_healthy/2ee6d2c6-a766-422c-a710-e89582d8155e___GH_HL Leaf 470.JPG,selected_dataset/healthy_leaves/003__Tomato_healthy__2ee6d2c6-a766-422c-a710-e89582d8155e_GH_HL_Leaf_470.jpg,0.520904541015625,0.012244419708243014,0.2575092688061922,0.09099931701509696
healthy_leaves,4,Pepper__bell___healthy,Pepper__bell___healthy/2e9037ac-b030-4837-bf2f-56b89c4b66bf___JR_HL 7603.JPG,selected_dataset/healthy_leaves/004__Pepper_bell_healthy__2e9037ac-b030-4837-bf2f-56b89c4b66bf_JR_HL_7603.jpg,0.610382080078125,0.06502174891255437,0.1358948706071524,0.3897620087844756
healthy_leaves,5,Potato___healthy,Potato___healthy/dca8ac5c-b925-435a-a5e9-da09fa8938a1___RS_HL 4182.JPG,selected_dataset/healthy_leaves/005__Potato_healthy__dca8ac5c-b925-435a-a5e9-da09fa8938a1_RS_HL_4182.jpg,0.521087646484375,0.0,0.17742873747106902,0.06971381738708018
healthy_leaves,6,Tomato_healthy,Tomato_healthy/5fdf7f4f-4847-4492-bda8-01995d192e75___GH_HL Leaf 405.JPG,selected_dataset/healthy_leaves/006__Tomato_healthy__5fdf7f4f-4847-4492-bda8-01995d192e75_GH_HL_Leaf_405.jpg,0.4903411865234375,0.0,0.31586862781803837,0.0766685014175488
healthy_leaves,7,Pepper__bell___healthy,Pepper__bell___healthy/df451c9c-6b43-4ed7-9f21-9df981439c8e___JR_HL 8253.JPG,selected_dataset/healthy_leaves/007__Pepper_bell_healthy__df451c9c-6b43-4ed7-9f21-9df981439c8e_JR_HL_8253.jpg,0.64849853515625,0.0,0.2540964382285723,0.22665613526628914
healthy_leaves,8,Potato___healthy,Potato___healthy/2d98cbc8-cbe6-423c-b2ab-3f7f8bcea5d5___RS_HL 1945.JPG,selected_dataset/healthy_leaves/008__Potato_healthy__2d98cbc8-cbe6-423c-b2ab-3f7f8bcea5d5_RS_HL_1945.jpg,0.49432373046875,0.0074391900234596865,0.12407541886911803,0.07736083723337019
healthy_leaves,9,Tomato_healthy,Tomato_healthy/7ee078a8-218e-4ebf-8935-ec9f844ab744___GH_HL Leaf 212.9.JPG,selected_dataset/healthy_leaves/009__Tomato_healthy__7ee078a8-218e-4ebf-8935-ec9f844ab744_GH_HL_Leaf_212.9.jpg,0.5904998779296875,0.0,0.5556863146746311,0.24226814567529809
healthy_leaves,10,Pepper__bell___healthy,Pepper__bell___healthy/3b0f8dbb-905b-4bdc-b4c6-231a22a47287___JR_HL 7610.JPG,selected_dataset/healthy_leaves/010__Pepper_bell_healthy__3b0f8dbb-905b-4bdc-b4c6-231a22a47287_JR_HL_7610.jpg,0.596099853515625,0.01392515230635335,0.09766808866958944,0.23605901583594657
healthy_leaves,11,Potato___healthy,Potato___healthy/7948ada9-eabc-4cb7-a579-b73e938eb716___RS_HL 4185.JPG,selected_dataset/healthy_leaves/011__Potato_healthy__7948ada9-eabc-4cb7-a579-b73e938eb716_RS_HL_4185.jpg,0.5807952880859375,0.03016052334287891,0.40107264933042747,0.22035627556228973
healthy_leaves,12,Tomato_healthy,Tomato_healthy/f44c5128-2575-4fda-82c7-9954ead65027___GH_HL Leaf 384.JPG,selected_dataset/healthy_leaves/012__Tomato_healthy__f44c5128-2575-4fda-82c7-9954ead65027_GH_HL_Leaf_384.jpg,0.4604644775390625,0.0,0.21416776450536767,0.1052256563668576
healthy_leaves,13,Pepper__bell___healthy,Pepper__bell___healthy/b81f901d-c870-43fd-b7c7-9b699d10d27e___JR_HL 8316.JPG,selected_dataset/healthy_leaves/013__Pepper_bell_healthy__b81f901d-c870-43fd-b7c7-9b699d10d27e_JR_HL_8316.jpg,0.6569061279296875,0.0,0.234922128238563,0.49071757665536675
healthy_leaves,14,Potato___healthy,Potato___healthy/b925ad3e-fc49-497d-a6eb-115f0de20800___RS_HL 4170.JPG,selected_dataset/healthy_leaves/014__Potato_healthy__b925ad3e-fc49-497d-a6eb-115f0de20800_RS_HL_4170.jpg,0.627838134765625,0.0036698585524716863,0.48034481669072293,0.22737711616404274
healthy_leaves,15,Tomato_healthy,Tomato_healthy/37203047-d8ba-43f7-b31e-d496c41c569c___GH_HL Leaf 389.JPG,selected_dataset/healthy_leaves/015__Tomato_healthy__37203047-d8ba-43f7-b31e-d496c41c569c_GH_HL_Leaf_389.jpg,0.4509429931640625,0.038405576422021456,0.25634761957300967,0.08737392721640537
healthy_leaves,16,Pepper__bell___healthy,Pepper__bell___healthy/37a48c05-400a-487c-a64d-d90da02d0ef8___JR_HL 7961.JPG,selected_dataset/healthy_leaves/016__Pepper_bell_healthy__37a48c05-400a-487c-a64d-d90da02d0ef8_JR_HL_7961.jpg,0.627410888671875,0.0971593949122039,0.3262306612000323,0.22323744296266534
healthy_leaves,17,Potato___healthy,Potato___healthy/907f26b7-a14f-463f-a41e-f35d6e0f1417___RS_HL 1757.JPG,selected_dataset/healthy_leaves/017__Potato_healthy__907f26b7-a14f-463f-a41e-f35d6e0f1417_RS_HL_1757.jpg,0.5448150634765625,0.0,0.2227771685032844,0.24798428693903635
healthy_leaves,18,Tomato_healthy,Tomato_healthy/505465db-407b-4e0a-8110-7479dad5261c___GH_HL Leaf 389.JPG,selected_dataset/healthy_leaves/018__Tomato_healthy__505465db-407b-4e0a-8110-7479dad5261c_GH_HL_Leaf_389.jpg,0.4509429931640625,0.038405576422021456,0.25634761957300967,0.08737392721640537
healthy_leaves,19,Pepper__bell___healthy,Pepper__bell___healthy/4498790b-0f2a-42bd-be32-509229d8593c___JR_HL 8667.JPG,selected_dataset/healthy_leaves/019__Pepper_bell_healthy__4498790b-0f2a-42bd-be32-509229d8593c_JR_HL_8667.jpg,0.5607147216796875,0.015946880017416388,0.08822543249434672,0.23301594036645346
healthy_leaves,20,Potato___healthy,Potato___healthy/b42621c3-f751-46e1-a8d2-83ed85b90554___RS_HL 1740.JPG,selected_dataset/healthy_leaves/020__Potato_healthy__b42621c3-f751-46e1-a8d2-83ed85b90554_RS_HL_1740.jpg,0.558624267578125,0.009669489210598197,0.29038081143029204,0.08423585908616657
healthy_leaves,21,Tomato_healthy,Tomato_healthy/a2317e6a-8548-432c-b69f-0f6daada41fa___GH_HL Leaf 469.1.JPG,selected_dataset/healthy_leaves/021__Tomato_healthy__a2317e6a-8548-432c-b69f-0f6daada41fa_GH_HL_Leaf_469.1.jpg,0.4312286376953125,0.005201514454548671,0.2082588782736356,0.09373995209060855
healthy_leaves,22,Pepper__bell___healthy,Pepper__bell___healthy/e82c0356-bcb1-4d19-9ce2-a9b9bf9ccb16___JR_HL 8668.JPG,selected_dataset/healthy_leaves/022__Pepper_bell_healthy__e82c0356-bcb1-4d19-9ce2-a9b9bf9ccb16_JR_HL_8668.jpg,0.542083740234375,0.0,0.08800993232396628,0.23425079611036193
healthy_leaves,23,Potato___healthy,Potato___healthy/c07db642-c675-4066-99b6-56bc8207fb37___RS_HL 4164.JPG,selected_dataset/healthy_leaves/023__Potato_healthy__c07db642-c675-4066-99b6-56bc8207fb37_RS_HL_4164.jpg,0.4837188720703125,0.04463581590486104,0.2141065938125654,0.0593268378097531
healthy_leaves,24,Tomato_healthy,Tomato_healthy/9a5d3900-8707-4088-8ec0-1fad45d8bd11___GH_HL Leaf 339.JPG,selected_dataset/healthy_leaves/024__Tomato_healthy__9a5d3900-8707-4088-8ec0-1fad45d8bd11_GH_HL_Leaf_339.jpg,0.3647918701171875,0.010791818295896599,0.16960301910104295,0.0730470013670749
healthy_leaves,25,Pepper__bell___healthy,Pepper__bell___healthy/acfdebad-66f9-4f9d-b302-55fd79345b2a___JR_HL 8672.JPG,selected_dataset/healthy_leaves/025__Pepper_bell_healthy__acfdebad-66f9-4f9d-b302-55fd79345b2a_JR_HL_8672.jpg,0.588134765625,0.0,0.14996403336182018,0.2482925181555362
healthy_leaves,26,Potato___healthy,Potato___healthy/d287be3d-cac6-4485-8c31-674fb8b459be___RS_HL 1973.JPG,selected_dataset/healthy_leaves/026__Potato_healthy__d287be3d-cac6-4485-8c31-674fb8b459be_RS_HL_1973.jpg,0.531524658203125,0.0031291267152781764,0.2765331632020386,0.07753300369624888
healthy_leaves,27,Tomato_healthy,Tomato_healthy/04483b12-5e9c-4e74-a5b6-e8c87f60b43f___GH_HL Leaf 439.JPG,selected_dataset/healthy_leaves/027__Tomato_healthy__04483b12-5e9c-4e74-a5b6-e8c87f60b43f_GH_HL_Leaf_439.jpg,0.4405364990234375,0.009871497350282291,0.25879107372538807,0.0902760093674639
healthy_leaves,28,Pepper__bell___healthy,Pepper__bell___healthy/8e68dd51-f132-4aed-ad05-1ae0d743d984___JR_HL 8623.JPG,selected_dataset/healthy_leaves/028__Pepper_bell_healthy__8e68dd51-f132-4aed-ad05-1ae0d743d984_JR_HL_8623.jpg,0.569732666015625,0.01194493545449676,0.14130176839902453,0.2547697949139934
healthy_leaves,29,Potato___healthy,Potato___healthy/f66af6c0-6fc6-4020-b1de-a73685d497c2___RS_HL 4181.JPG,selected_dataset/healthy_leaves/029__Potato_healthy__f66af6c0-6fc6-4020-b1de-a73685d497c2_RS_HL_4181.jpg,0.5008697509765625,0.0029855293221629857,0.1669326101927353,0.08995027412318085
healthy_leaves,30,Tomato_healthy,Tomato_healthy/68955a6d-9454-49ba-8924-a5ed69dcd820___GH_HL Leaf 276.JPG,selected_dataset/healthy_leaves/030__Tomato_healthy__68955a6d-9454-49ba-8924-a5ed69dcd820_GH_HL_Leaf_276.jpg,0.5823516845703125,0.0,0.681393989516444,0.232601838097216
healthy_leaves,31,Pepper__bell___healthy,Pepper__bell___healthy/31394cd0-c576-4d84-9318-63e7a4ee4170___JR_HL 8640.JPG,selected_dataset/healthy_leaves/031__Pepper_bell_healthy__31394cd0-c576-4d84-9318-63e7a4ee4170_JR_HL_8640.jpg,0.5818328857421875,0.01951168340720149,0.18750500913468643,0.25504090849440214
healthy_leaves,32,Potato___healthy,Potato___healthy/3a1dbeee-089c-43f0-8f51-a92d3687a515___RS_HL 1754.JPG,selected_dataset/healthy_leaves/032__Potato_healthy__3a1dbeee-089c-43f0-8f51-a92d3687a515_RS_HL_1754.jpg,0.57147216796875,0.029317526433835308,0.39412650664119964,0.22970006685975533
healthy_leaves,33,Tomato_healthy,Tomato_healthy/45a1e50e-e504-40a6-8378-39c28914ca43___GH_HL Leaf 448.1.JPG,selected_dataset/healthy_leaves/033__Tomato_healthy__45a1e50e-e504-40a6-8378-39c28914ca43_GH_HL_Leaf_448.1.jpg,0.4233856201171875,0.0,0.3039508056852554,0.07550658552464114
healthy_leaves,34,Pepper__bell___healthy,Pepper__bell___healthy/68c3951b-fb90-4181-9a12-441b47698db3___JR_HL 5998.JPG,selected_dataset/healthy_leaves/034__Pepper_bell_healthy__68c3951b-fb90-4181-9a12-441b47698db3_JR_HL_5998.jpg,0.6078643798828125,0.031026432713306726,0.35000736114455744,0.22537469581809982
healthy_leaves,35,Potato___healthy,Potato___healthy/949cafd0-098b-497f-9590-f0fb8ccafc94___RS_HL 4168.JPG,selected_dataset/healthy_leaves/035__Potato_healthy__949cafd0-098b-497f-9590-f0fb8ccafc94_RS_HL_4168.jpg,0.5344696044921875,0.03882719045307905,0.347420281135633,0.23625731981438952
healthy_leaves,36,Tomato_healthy,Tomato_healthy/52325034-c2a2-4f00-b49d-e67cafcd2828___GH_HL Leaf 399.1.JPG,selected_dataset/healthy_leaves/036__Tomato_healthy__52325034-c2a2-4f00-b49d-e67cafcd2828_GH_HL_Leaf_399.1.jpg,0.4252166748046875,0.0,0.1867102494864537,0.12056900497473577
healthy_leaves,37,Pepper__bell___healthy,Pepper__bell___healthy/d368d083-8244-490d-8220-7f3327e57e74___JR_HL 8624.JPG,selected_dataset/healthy_leaves/037__Pepper_bell_healthy__d368d083-8244-490d-8220-7f3327e57e74_JR_HL_8624.jpg,0.5768585205078125,0.05591852929506679,0.16297658042239022,0.25741213851065964
healthy_leaves,38,Potato___healthy,Potato___healthy/a8d687be-3777-403f-bae7-5c8c19340b3f___RS_HL 1738.JPG,selected_dataset/healthy_leaves/038__Potato_healthy__a8d687be-3777-403f-bae7-5c8c19340b3f_RS_HL_1738.jpg,0.5291748046875,0.008506343713956172,0.27439507899112686,0.08679624960587035
healthy_leaves,39,Tomato_healthy,Tomato_healthy/bc0e8e3d-0cd4-4650-ac73-c099a0b75d4e___GH_HL Leaf 426.1.JPG,selected_dataset/healthy_leaves/039__Tomato_healthy__bc0e8e3d-0cd4-4650-ac73-c099a0b75d4e_GH_HL_Leaf_426.1.jpg,0.48004150390625,0.0,0.406430467789651,0.08061134635721934
